 Mortalidade - Brasil
Óbitos p/Ocorrênc por Município e Faixa Etária
Faixa Etária: Menor 1 ano, 1 a 4 anos, 15 a 19 anos, 20 a 29 anos, 30 a 39 anos, 40 a 49 anos, 50 a 59 anos, 60 a 69 anos, 70 a 79 anos, 80 anos e mais
Período:2002
"Município";"Menor 1 ano";"1 a 4 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"150370 Itupiranga";9;6;2;12;9;12;10;22;22;14;118
"150375 Jacareacanga";8;3;-;1;4;4;-;1;1;1;23
"150380 Jacundá";44;11;9;30;22;22;20;19;20;26;223
"150390 Juruti";21;2;-;1;2;4;1;6;3;6;46
"150400 Limoeiro do Ajuru";1;3;-;2;-;4;1;3;6;2;22
"150405 Mãe do Rio";36;4;1;2;5;8;13;11;25;25;130
"150410 Magalhães Barata";2;-;-;1;-;3;2;4;7;13;32
"150420 Marabá";145;23;32;101;81;107;106;112;107;90;904
"150430 Maracanã";1;-;-;-;2;5;3;5;9;18;43
"150440 Marapanim";-;-;-;-;1;1;6;9;7;9;33
"150442 Marituba";17;4;8;16;24;30;24;29;44;25;221
"150445 Medicilândia";11;2;2;11;6;5;3;8;5;5;58
"150450 Melgaço";12;6;-;4;-;2;2;2;6;11;45
"150460 Mocajuba";6;2;1;1;1;3;2;5;5;7;33
"150470 Moju";-;1;4;2;3;6;6;9;18;12;61
"150480 Monte Alegre";11;3;3;4;4;5;13;18;32;28;121
"150490 Muaná";7;1;1;5;3;2;5;6;12;5;47
"150495 Nova Esperança do Piriá";14;3;-;4;3;1;1;3;6;1;36
"150497 Nova Ipixuna";2;1;-;4;1;4;2;4;5;6;29
"150500 Nova Timboteua";-;-;1;2;1;1;2;7;4;7;25
"150503 Novo Progresso";9;2;1;19;17;9;8;3;1;-;69
"150506 Novo Repartimento";21;5;3;26;13;16;19;16;21;6;146
"150510 Óbidos";12;1;4;7;11;6;17;22;30;42;152
"150520 Oeiras do Pará";5;2;1;-;2;2;2;3;4;8;29
"150530 Oriximiná";30;13;1;9;6;7;20;30;37;52;205
"150540 Ourém";1;-;-;3;-;-;1;-;1;2;8
"150543 Ourilândia do Norte";4;2;3;3;6;5;7;3;7;2;42
"150548 Pacajá";8;-;1;9;8;13;10;9;7;5;70
"150549 Palestina do Pará";4;1;-;1;1;3;2;8;1;3;24
